year,country_name,avg_value,rank_highest,rank_lowest
2005,Spain,81.04,1,6
2005,Greece,79.39,2,5
2005,Germany,75.71,3,4
2005,Netherlands,74.48,4,3
2005,Romania,53.13,5,2
2005,Hungary,50.49,6,1
2006,Netherlands,82.82,1,6
2006,Germany,81.80,2,5
2006,Greece,81.10,3,4
2006,Spain,78.62,4,3
2006,Hungary,58.76,5,2
2006,Romania,55.15,6,1
2007,Greece,84.97,1,6
2007,Germany,84.12,2,5
2007,Netherlands,84.04,3,4
2007,Spain,82.86,4,3
2007,Hungary,70.46,5,2
2007,Romania,65.12,6,1
2008,Greece,90.33,1,6
2008,Netherlands,89.56,2,5
2008,Germany,88.04,3,4
2008,Spain,86.31,4,3
2008,Romania,73.76,5,2
2008,Hungary,72.12,6,1
2009,Greece,89.21,1,6
2009,Netherlands,82.46,2,5
2009,Spain,80.02,3,4
2009,Germany,78.11,4,3
2009,Romania,74.34,5,2
2009,Hungary,69.88,6,1
2010,Netherlands,92.26,1,6
2010,Germany,90.38,2,5
2010,Greece,88.84,3,4
2010,Spain,87.74,4,3
2010,Hungary,79.08,5,2
2010,Romania,78.15,6,1
2011,Greece,92.40,1,6
2011,Germany,90.51,2,5
2011,Netherlands,89.55,3,4
2011,Hungary,84.07,4,3
2011,Spain,82.94,5,2
2011,Romania,82.89,6,1
2012,Germany,97.20,1,6
2012,Netherlands,93.86,2,5
2012,Greece,92.63,3,4
2012,Hungary,88.67,4,3
2012,Romania,87.54,5,2
2012,Spain,85.84,6,1
2013,Netherlands,105.51,1,6
2013,Germany,103.13,2,5
2013,Greece,95.50,3,4
2013,Hungary,94.37,4,3
2013,Spain,93.47,5,2
2013,Romania,92.49,6,1
2014,Germany,96.71,1,6
2014,Netherlands,94.36,2,5
2014,Romania,93.02,3,4
2014,Greece,92.64,4,3
2014,Hungary,92.34,5,2
2014,Spain,89.25,6,1
2015,Spain,100.73,1,6
2015,Hungary,100.68,2,5
2015,Greece,100.33,3,4
2015,Netherlands,100.26,4,3
2015,Germany,99.96,5,2
2015,Romania,99.95,6,1
2016,Hungary,105.56,1,6
2016,Germany,105.29,2,5
2016,Romania,104.75,3,4
2016,Netherlands,102.54,4,3
2016,Spain,101.59,5,2
2016,Greece,97.69,6,1
2017,Romania,112.69,1,6
2017,Germany,111.29,2,5
2017,Hungary,110.27,3,4
2017,Netherlands,108.22,4,3
2017,Spain,104.79,5,2
2017,Greece,99.00,6,1
2018,Romania,120.61,1,6
2018,Germany,116.72,2,5
2018,Hungary,116.22,3,4
2018,Netherlands,110.67,4,3
2018,Spain,106.16,5,2
2018,Greece,100.36,6,1
2019,Romania,134.87,1,6
2019,Hungary,127.55,2,5
2019,Germany,114.10,3,4
2019,Netherlands,110.45,4,3
2019,Greece,105.66,5,2
2019,Spain,104.35,6,1
2020,Hungary,145.60,1,6
2020,Romania,138.53,2,5
2020,Germany,121.63,3,4
2020,Netherlands,113.74,4,3
2020,Spain,109.06,5,2
2020,Greece,108.33,6,1
2021,Hungary,155.21,1,6
2021,Romania,143.73,2,5
2021,Germany,125.71,3,4
2021,Netherlands,114.32,4,3
2021,Spain,111.51,5,2
2021,Greece,110.92,6,1
2022,Hungary,185.49,1,6
2022,Romania,160.85,2,5
2022,Germany,132.92,3,4
2022,Spain,128.17,4,3
2022,Netherlands,124.16,5,2
2022,Greece,123.71,6,1
2023,Hungary,218.96,1,6
2023,Romania,186.03,2,5
2023,Germany,148.87,3,4
2023,Spain,143.22,4,3
2023,Netherlands,142.73,5,2
2023,Greece,137.80,6,1
2024,Hungary,235.09,1,6
2024,Romania,199.31,2,5
2024,Germany,156.42,3,4
2024,Spain,144.32,4,3
2024,Greece,143.97,5,2
2024,Netherlands,143.38,6,1
2025,Hungary,257.04,1,6
2025,Romania,216.61,2,5
2025,Germany,159.30,3,4
2025,Spain,154.15,4,3
2025,Greece,148.02,5,2
2025,Netherlands,145.20,6,1
